,nodeA,nodeB,weight
1485,M. Daniele Paserman,Swers,1
1486,John Sununu,M. Daniele Paserman,1
1487,Liz Shuler,M. Daniele Paserman,1
1488,M. Daniele Paserman,Shuler,1
1489,Alice H.,M. Daniele Paserman,1
1490,M. Daniele Paserman,Margaret Thatcher,1
1491,Golda Meir,M. Daniele Paserman,1
1492,M. Daniele Paserman,Tim Cook,1
1493,Hassan,M. Daniele Paserman,3
1494,M. Daniele Paserman,Sylvia Larsen,1
1495,Ask Ayotte,M. Daniele Paserman,1
1496,M. Daniele Paserman,Ruth Griffin,2
1497,Griffin,M. Daniele Paserman,2
1498,M. Daniele Paserman,Marilla Ricker,1
1499,M. Daniele Paserman,Susan McLane,1
1500,M. Daniele Paserman,McLane,1
1501,Ann McLane Kuster,M. Daniele Paserman,1
1502,M. Daniele Paserman,Sununu,2
1503,M. Daniele Paserman,Vesta Roy,1
1504,Debbie Walsh,M. Daniele Paserman,1
1505,M. Daniele Paserman,Walsh,2
1506,Jennifer Horn,M. Daniele Paserman,1
1507,Horn,M. Daniele Paserman,1
1508,Obama,Shaheen,3
1509,Lisa Murkowski,Obama,1
1510,Maria Cantwell,Obama,1
1511,Mikulski,Obama,1
1512,Barbara Mikulski,Obama,1
1513,Obama,Susan Collins,1
1514,John McCain,Obama,1
1515,Michele Swers,Obama,1
1516,Obama,Swers,1
1517,John Sununu,Obama,1
1518,Liz Shuler,Obama,1
1519,Obama,Shuler,1
1520,Alice H.,Obama,1
1521,Margaret Thatcher,Obama,1
1522,Golda Meir,Obama,1
1523,Obama,Tim Cook,1
1524,Hassan,Obama,3
1525,Obama,Sylvia Larsen,1
1526,Ask Ayotte,Obama,1
1527,Obama,Ruth Griffin,2
1528,Griffin,Obama,2
1529,Marilla Ricker,Obama,1
1530,Obama,Susan McLane,1
1531,McLane,Obama,1
1532,Ann McLane Kuster,Obama,1
1533,Obama,Sununu,2
1534,Obama,Vesta Roy,1
1535,Debbie Walsh,Obama,1
1536,Obama,Walsh,2
1537,Jennifer Horn,Obama,1
1538,Horn,Obama,1
1539,Lisa Murkowski,Shaheen,3
1540,Maria Cantwell,Shaheen,3
1541,Mikulski,Shaheen,3
1542,Shaheen,Shaheen,3
1543,Barbara Mikulski,Shaheen,3
1544,Shaheen,Susan Collins,3
1545,John McCain,Shaheen,3
1546,Michele Swers,Shaheen,3
1547,Shaheen,Swers,3
1548,John Sununu,Shaheen,3
1549,Liz Shuler,Shaheen,3
1550,Shaheen,Shuler,3
1551,Alice H.,Shaheen,3
1552,Margaret Thatcher,Shaheen,3
1553,Golda Meir,Shaheen,3
1554,Shaheen,Tim Cook,3
1555,Hassan,Shaheen,9
1556,Shaheen,Sylvia Larsen,3
1557,Ask Ayotte,Shaheen,3
1558,Ruth Griffin,Shaheen,6
1559,Griffin,Shaheen,6
1560,Marilla Ricker,Shaheen,3
1561,Shaheen,Susan McLane,3
1562,McLane,Shaheen,3
1563,Ann McLane Kuster,Shaheen,3
1564,Shaheen,Sununu,6
1565,Shaheen,Vesta Roy,3
1566,Debbie Walsh,Shaheen,3
1567,Shaheen,Walsh,6
1568,Jennifer Horn,Shaheen,3
1569,Horn,Shaheen,3
1570,Lisa Murkowski,Maria Cantwell,1
1571,Lisa Murkowski,Mikulski,1
1572,Barbara Mikulski,Lisa Murkowski,1
1573,Lisa Murkowski,Susan Collins,1
1574,John McCain,Lisa Murkowski,1
1575,Lisa Murkowski,Michele Swers,1
1576,Lisa Murkowski,Swers,1
1577,John Sununu,Lisa Murkowski,1
1578,Lisa Murkowski,Liz Shuler,1
1579,Lisa Murkowski,Shuler,1
1580,Alice H.,Lisa Murkowski,1
1581,Lisa Murkowski,Margaret Thatcher,1
1582,Golda Meir,Lisa Murkowski,1
1583,Lisa Murkowski,Tim Cook,1
1584,Hassan,Lisa Murkowski,3
1585,Lisa Murkowski,Sylvia Larsen,1
1586,Ask Ayotte,Lisa Murkowski,1
1587,Lisa Murkowski,Ruth Griffin,2
1588,Griffin,Lisa Murkowski,2
1589,Lisa Murkowski,Marilla Ricker,1
1590,Lisa Murkowski,Susan McLane,1
1591,Lisa Murkowski,McLane,1
1592,Ann McLane Kuster,Lisa Murkowski,1
1593,Lisa Murkowski,Sununu,2
1594,Lisa Murkowski,Vesta Roy,1
1595,Debbie Walsh,Lisa Murkowski,1
1596,Lisa Murkowski,Walsh,2
1597,Jennifer Horn,Lisa Murkowski,1
1598,Horn,Lisa Murkowski,1
1599,Maria Cantwell,Mikulski,1
1600,Barbara Mikulski,Maria Cantwell,1
1601,Maria Cantwell,Susan Collins,1
1602,John McCain,Maria Cantwell,1
1603,Maria Cantwell,Michele Swers,1
1604,Maria Cantwell,Swers,1
1605,John Sununu,Maria Cantwell,1
1606,Liz Shuler,Maria Cantwell,1
1607,Maria Cantwell,Shuler,1
1608,Alice H.,Maria Cantwell,1
1609,Margaret Thatcher,Maria Cantwell,1
1610,Golda Meir,Maria Cantwell,1
1611,Maria Cantwell,Tim Cook,1
1612,Hassan,Maria Cantwell,3
1613,Maria Cantwell,Sylvia Larsen,1
1614,Ask Ayotte,Maria Cantwell,1
1615,Maria Cantwell,Ruth Griffin,2
1616,Griffin,Maria Cantwell,2
1617,Maria Cantwell,Marilla Ricker,1
1618,Maria Cantwell,Susan McLane,1
1619,Maria Cantwell,McLane,1
1620,Ann McLane Kuster,Maria Cantwell,1
1621,Maria Cantwell,Sununu,2
1622,Maria Cantwell,Vesta Roy,1
1623,Debbie Walsh,Maria Cantwell,1
1624,Maria Cantwell,Walsh,2
1625,Jennifer Horn,Maria Cantwell,1
1626,Horn,Maria Cantwell,1
1627,Barbara Mikulski,Mikulski,1
1628,Mikulski,Susan Collins,1
1629,John McCain,Mikulski,1
1630,Michele Swers,Mikulski,1
1631,Mikulski,Swers,1
1632,John Sununu,Mikulski,1
1633,Liz Shuler,Mikulski,1
1634,Mikulski,Shuler,1
1635,Alice H.,Mikulski,1
1636,Margaret Thatcher,Mikulski,1
1637,Golda Meir,Mikulski,1
1638,Mikulski,Tim Cook,1
1639,Hassan,Mikulski,3
1640,Mikulski,Sylvia Larsen,1
1641,Ask Ayotte,Mikulski,1
1642,Mikulski,Ruth Griffin,2
1643,Griffin,Mikulski,2
1644,Marilla Ricker,Mikulski,1
1645,Mikulski,Susan McLane,1
1646,McLane,Mikulski,1
1647,Ann McLane Kuster,Mikulski,1
1648,Mikulski,Sununu,2
1649,Mikulski,Vesta Roy,1
1650,Debbie Walsh,Mikulski,1
1651,Mikulski,Walsh,2
1652,Jennifer Horn,Mikulski,1
1653,Horn,Mikulski,1
1654,Barbara Mikulski,Susan Collins,1
1655,Barbara Mikulski,John McCain,1
1656,Barbara Mikulski,Michele Swers,1
1657,Barbara Mikulski,Swers,1
1658,Barbara Mikulski,John Sununu,1
1659,Barbara Mikulski,Liz Shuler,1
1660,Barbara Mikulski,Shuler,1
1661,Alice H.,Barbara Mikulski,1
1662,Barbara Mikulski,Margaret Thatcher,1
1663,Barbara Mikulski,Golda Meir,1
1664,Barbara Mikulski,Tim Cook,1
1665,Barbara Mikulski,Hassan,3
1666,Barbara Mikulski,Sylvia Larsen,1
1667,Ask Ayotte,Barbara Mikulski,1
1668,Barbara Mikulski,Ruth Griffin,2
1669,Barbara Mikulski,Griffin,2
1670,Barbara Mikulski,Marilla Ricker,1
1671,Barbara Mikulski,Susan McLane,1
1672,Barbara Mikulski,McLane,1
1673,Ann McLane Kuster,Barbara Mikulski,1
1674,Barbara Mikulski,Sununu,2
1675,Barbara Mikulski,Vesta Roy,1
1676,Barbara Mikulski,Debbie Walsh,1
1677,Barbara Mikulski,Walsh,2
1678,Barbara Mikulski,Jennifer Horn,1
1679,Barbara Mikulski,Horn,1
1680,John McCain,Susan Collins,2
1681,Michele Swers,Susan Collins,1
1682,Susan Collins,Swers,1
1683,John Sununu,Susan Collins,1
1684,Liz Shuler,Susan Collins,1
1685,Shuler,Susan Collins,1
1686,Alice H.,Susan Collins,1
1687,Margaret Thatcher,Susan Collins,1
1688,Golda Meir,Susan Collins,1
1689,Susan Collins,Tim Cook,1
1690,Hassan,Susan Collins,3
1691,Susan Collins,Sylvia Larsen,1
1692,Ask Ayotte,Susan Collins,1
1693,Ruth Griffin,Susan Collins,2
1694,Griffin,Susan Collins,2
1695,Marilla Ricker,Susan Collins,1
1696,Susan Collins,Susan McLane,1
1697,McLane,Susan Collins,1
1698,Ann McLane Kuster,Susan Collins,1
1699,Sununu,Susan Collins,2
1700,Susan Collins,Vesta Roy,1
1701,Debbie Walsh,Susan Collins,1
1702,Susan Collins,Walsh,2
1703,Jennifer Horn,Susan Collins,1
1704,Horn,Susan Collins,1
1705,John McCain,Michele Swers,1
1706,John McCain,Swers,1
1707,John McCain,John Sununu,1
1708,John McCain,Liz Shuler,1
1709,John McCain,Shuler,1
1710,Alice H.,John McCain,1
1711,John McCain,Margaret Thatcher,1
1712,Golda Meir,John McCain,1
1713,John McCain,Tim Cook,1
1714,Hassan,John McCain,3
1715,John McCain,Sylvia Larsen,1
1716,Ask Ayotte,John McCain,1
1717,John McCain,Ruth Griffin,2
1718,Griffin,John McCain,2
1719,John McCain,Marilla Ricker,1
1720,John McCain,Susan McLane,1
1721,John McCain,McLane,1
1722,Ann McLane Kuster,John McCain,1
1723,John McCain,Sununu,2
1724,John McCain,Vesta Roy,1
1725,Debbie Walsh,John McCain,1
1726,John McCain,Walsh,2
1727,Jennifer Horn,John McCain,1
1728,Horn,John McCain,1
1729,Michele Swers,Swers,1
1730,John Sununu,Michele Swers,1
1731,Liz Shuler,Michele Swers,1
1732,Michele Swers,Shuler,1
1733,Alice H.,Michele Swers,1
1734,Margaret Thatcher,Michele Swers,1
1735,Golda Meir,Michele Swers,1
1736,Michele Swers,Tim Cook,1
1737,Hassan,Michele Swers,3
1738,Michele Swers,Sylvia Larsen,1
1739,Ask Ayotte,Michele Swers,1
1740,Michele Swers,Ruth Griffin,2
1741,Griffin,Michele Swers,2
1742,Marilla Ricker,Michele Swers,1
1743,Michele Swers,Susan McLane,1
1744,McLane,Michele Swers,1
1745,Ann McLane Kuster,Michele Swers,1
1746,Michele Swers,Sununu,2
1747,Michele Swers,Vesta Roy,1
1748,Debbie Walsh,Michele Swers,1
1749,Michele Swers,Walsh,2
1750,Jennifer Horn,Michele Swers,1
1751,Horn,Michele Swers,1
1752,John Sununu,Swers,1
1753,Liz Shuler,Swers,1
1754,Shuler,Swers,1
1755,Alice H.,Swers,1
1756,Margaret Thatcher,Swers,1
1757,Golda Meir,Swers,1
1758,Swers,Tim Cook,1
1759,Hassan,Swers,3
1760,Swers,Sylvia Larsen,1
1761,Ask Ayotte,Swers,1
1762,Ruth Griffin,Swers,2
1763,Griffin,Swers,2
1764,Marilla Ricker,Swers,1
1765,Susan McLane,Swers,1
1766,McLane,Swers,1
1767,Ann McLane Kuster,Swers,1
1768,Sununu,Swers,2
1769,Swers,Vesta Roy,1
1770,Debbie Walsh,Swers,1
1771,Swers,Walsh,2
1772,Jennifer Horn,Swers,1
1773,Horn,Swers,1
1774,John Sununu,Liz Shuler,1
1775,John Sununu,Shuler,1
1776,Alice H.,John Sununu,1
1777,John Sununu,Margaret Thatcher,1
1778,Golda Meir,John Sununu,1
1779,John Sununu,Tim Cook,1
1780,Hassan,John Sununu,3
1781,John Sununu,Sylvia Larsen,1
1782,Ask Ayotte,John Sununu,1
1783,John Sununu,Ruth Griffin,2
1784,Griffin,John Sununu,2
1785,John Sununu,Marilla Ricker,1
1786,John Sununu,Susan McLane,1
1787,John Sununu,McLane,1
1788,Ann McLane Kuster,John Sununu,1
1789,John Sununu,Sununu,2
1790,John Sununu,Vesta Roy,1
1791,Debbie Walsh,John Sununu,1
1792,John Sununu,Walsh,2
1793,Jennifer Horn,John Sununu,1
1794,Horn,John Sununu,1
1795,Liz Shuler,Shuler,1
1796,Alice H.,Liz Shuler,1
1797,Liz Shuler,Margaret Thatcher,1
1798,Golda Meir,Liz Shuler,1
1799,Liz Shuler,Tim Cook,1
1800,Hassan,Liz Shuler,3
1801,Liz Shuler,Sylvia Larsen,1
1802,Ask Ayotte,Liz Shuler,1
1803,Liz Shuler,Ruth Griffin,2
1804,Griffin,Liz Shuler,2
1805,Liz Shuler,Marilla Ricker,1
1806,Liz Shuler,Susan McLane,1
1807,Liz Shuler,McLane,1
1808,Ann McLane Kuster,Liz Shuler,1
1809,Liz Shuler,Sununu,2
1810,Liz Shuler,Vesta Roy,1
1811,Debbie Walsh,Liz Shuler,1
1812,Liz Shuler,Walsh,2
1813,Jennifer Horn,Liz Shuler,1
1814,Horn,Liz Shuler,1
1815,Alice H.,Shuler,1
1816,Margaret Thatcher,Shuler,1
1817,Golda Meir,Shuler,1
1818,Shuler,Tim Cook,1
1819,Hassan,Shuler,3
1820,Shuler,Sylvia Larsen,1
1821,Ask Ayotte,Shuler,1
1822,Ruth Griffin,Shuler,2
1823,Griffin,Shuler,2
1824,Marilla Ricker,Shuler,1
1825,Shuler,Susan McLane,1
1826,McLane,Shuler,1
1827,Ann McLane Kuster,Shuler,1
1828,Shuler,Sununu,2
1829,Shuler,Vesta Roy,1
1830,Debbie Walsh,Shuler,1
1831,Shuler,Walsh,2
1832,Jennifer Horn,Shuler,1
1833,Horn,Shuler,1
1834,Alice H.,Margaret Thatcher,1
1835,Alice H.,Golda Meir,1
1836,Alice H.,Tim Cook,1
1837,Alice H.,Hassan,3
1838,Alice H.,Sylvia Larsen,1
1839,Alice H.,Ask Ayotte,1
1840,Alice H.,Ruth Griffin,2
1841,Alice H.,Griffin,2
1842,Alice H.,Marilla Ricker,1
1843,Alice H.,Susan McLane,1
1844,Alice H.,McLane,1
1845,Alice H.,Ann McLane Kuster,1
1846,Alice H.,Sununu,2
1847,Alice H.,Vesta Roy,1
1848,Alice H.,Debbie Walsh,1
1849,Alice H.,Walsh,2
1850,Alice H.,Jennifer Horn,1
1851,Alice H.,Horn,1
1852,Golda Meir,Margaret Thatcher,1
1853,Margaret Thatcher,Tim Cook,1
1854,Hassan,Margaret Thatcher,3
1855,Margaret Thatcher,Sylvia Larsen,1
1856,Ask Ayotte,Margaret Thatcher,1
1857,Margaret Thatcher,Ruth Griffin,2
1858,Griffin,Margaret Thatcher,2
1859,Margaret Thatcher,Marilla Ricker,1
1860,Margaret Thatcher,Susan McLane,1
1861,Margaret Thatcher,McLane,1
1862,Ann McLane Kuster,Margaret Thatcher,1
1863,Margaret Thatcher,Sununu,2
1864,Margaret Thatcher,Vesta Roy,1
1865,Debbie Walsh,Margaret Thatcher,1
1866,Margaret Thatcher,Walsh,2
1867,Jennifer Horn,Margaret Thatcher,1
1868,Horn,Margaret Thatcher,1
1869,Golda Meir,Tim Cook,1
1870,Golda Meir,Hassan,3
1871,Golda Meir,Sylvia Larsen,1
1872,Ask Ayotte,Golda Meir,1
1873,Golda Meir,Ruth Griffin,2
1874,Golda Meir,Griffin,2
1875,Golda Meir,Marilla Ricker,1
1876,Golda Meir,Susan McLane,1
1877,Golda Meir,McLane,1
1878,Ann McLane Kuster,Golda Meir,1
1879,Golda Meir,Sununu,2
1880,Golda Meir,Vesta Roy,1
1881,Debbie Walsh,Golda Meir,1
1882,Golda Meir,Walsh,2
1883,Golda Meir,Jennifer Horn,1
1884,Golda Meir,Horn,1
1885,Hassan,Tim Cook,3
1886,Sylvia Larsen,Tim Cook,1
1887,Ask Ayotte,Tim Cook,1
1888,Ruth Griffin,Tim Cook,2
1889,Griffin,Tim Cook,2
1890,Marilla Ricker,Tim Cook,1
1891,Susan McLane,Tim Cook,1
1892,McLane,Tim Cook,1
1893,Ann McLane Kuster,Tim Cook,1
1894,Sununu,Tim Cook,2
1895,Tim Cook,Vesta Roy,1
1896,Debbie Walsh,Tim Cook,1
1897,Tim Cook,Walsh,2
1898,Jennifer Horn,Tim Cook,1
1899,Horn,Tim Cook,1
1900,Hassan,Hassan,3
1901,Hassan,Sylvia Larsen,3
1902,Ask Ayotte,Hassan,3
1903,Hassan,Ruth Griffin,6
1904,Griffin,Hassan,6
1905,Hassan,Marilla Ricker,3
1906,Hassan,Susan McLane,3
1907,Hassan,McLane,3
1908,Ann McLane Kuster,Hassan,3
1909,Hassan,Sununu,6
1910,Hassan,Vesta Roy,3
1911,Debbie Walsh,Hassan,3
1912,Hassan,Walsh,6
1913,Hassan,Jennifer Horn,3
1914,Hassan,Horn,3
1915,Ask Ayotte,Sylvia Larsen,1
1916,Ruth Griffin,Sylvia Larsen,2
1917,Griffin,Sylvia Larsen,2
1918,Marilla Ricker,Sylvia Larsen,1
1919,Susan McLane,Sylvia Larsen,1
1920,McLane,Sylvia Larsen,1
1921,Ann McLane Kuster,Sylvia Larsen,1
1922,Sununu,Sylvia Larsen,2
1923,Sylvia Larsen,Vesta Roy,1
1924,Debbie Walsh,Sylvia Larsen,1
1925,Sylvia Larsen,Walsh,2
1926,Jennifer Horn,Sylvia Larsen,1
1927,Horn,Sylvia Larsen,1
1928,Ask Ayotte,Ruth Griffin,2
1929,Ask Ayotte,Griffin,2
1930,Ask Ayotte,Marilla Ricker,1
1931,Ask Ayotte,Susan McLane,1
1932,Ask Ayotte,McLane,1
1933,Ann McLane Kuster,Ask Ayotte,1
1934,Ask Ayotte,Sununu,2
1935,Ask Ayotte,Vesta Roy,1
1936,Ask Ayotte,Debbie Walsh,1
1937,Ask Ayotte,Walsh,2
1938,Ask Ayotte,Jennifer Horn,1
1939,Ask Ayotte,Horn,1
1940,Ruth Griffin,Ruth Griffin,1
1941,Griffin,Ruth Griffin,4
1942,Marilla Ricker,Ruth Griffin,2
1943,Ruth Griffin,Susan McLane,2
1944,McLane,Ruth Griffin,2
1945,Ann McLane Kuster,Ruth Griffin,2
1946,Ruth Griffin,Sununu,4
1947,Ruth Griffin,Vesta Roy,2
1948,Debbie Walsh,Ruth Griffin,2
1949,Ruth Griffin,Walsh,4
1950,Jennifer Horn,Ruth Griffin,2
1951,Horn,Ruth Griffin,2
1952,Griffin,Griffin,1
1953,Griffin,Marilla Ricker,2
1954,Griffin,Susan McLane,2
1955,Griffin,McLane,2
1956,Ann McLane Kuster,Griffin,2
1957,Griffin,Sununu,4
1958,Griffin,Vesta Roy,2
1959,Debbie Walsh,Griffin,2
1960,Griffin,Walsh,4
1961,Griffin,Jennifer Horn,2
1962,Griffin,Horn,2
1963,Marilla Ricker,Susan McLane,1
1964,Marilla Ricker,McLane,1
1965,Ann McLane Kuster,Marilla Ricker,1
1966,Marilla Ricker,Sununu,2
1967,Marilla Ricker,Vesta Roy,1
1968,Debbie Walsh,Marilla Ricker,1
1969,Marilla Ricker,Walsh,2
1970,Jennifer Horn,Marilla Ricker,1
1971,Horn,Marilla Ricker,1
1972,McLane,Susan McLane,1
1973,Ann McLane Kuster,Susan McLane,1
1974,Sununu,Susan McLane,2
1975,Susan McLane,Vesta Roy,1
1976,Debbie Walsh,Susan McLane,1
1977,Susan McLane,Walsh,2
1978,Jennifer Horn,Susan McLane,1
1979,Horn,Susan McLane,1
1980,Ann McLane Kuster,McLane,1
1981,McLane,Sununu,2
1982,McLane,Vesta Roy,1
1983,Debbie Walsh,McLane,1
1984,McLane,Walsh,2
1985,Jennifer Horn,McLane,1
1986,Horn,McLane,1
1987,Ann McLane Kuster,Sununu,2
1988,Ann McLane Kuster,Vesta Roy,1
1989,Ann McLane Kuster,Debbie Walsh,1
1990,Ann McLane Kuster,Walsh,2
1991,Ann McLane Kuster,Jennifer Horn,1
1992,Ann McLane Kuster,Horn,1
1993,Sununu,Vesta Roy,2
1994,Sununu,Sununu,1
1995,Debbie Walsh,Sununu,2
1996,Sununu,Walsh,4
1997,Jennifer Horn,Sununu,2
1998,Horn,Sununu,2
1999,Debbie Walsh,Vesta Roy,1
2000,Vesta Roy,Walsh,2
2001,Jennifer Horn,Vesta Roy,1
2002,Horn,Vesta Roy,1
2003,Debbie Walsh,Walsh,2
2004,Debbie Walsh,Jennifer Horn,1
2005,Debbie Walsh,Horn,1
2006,Walsh,Walsh,1
2007,Jennifer Horn,Walsh,2
2008,Horn,Walsh,2
2009,Horn,Jennifer Horn,1
2010,Alex Jones,Michele Obama,2
2011,Alex Jones,Hillary Clinton,3
2012,Alex Jones,Rick Ross,2
2013,Alex Jones,Trump,2
2014,Alex Jones,Michelle,2
2015,Alex Jones,Hillary,2
2016,Alex Jones,Alex Jones,1
2017,Hillary Clinton,Michele Obama,1
2018,Michele Obama,Rick Ross,1
2019,Michele Obama,Trump,1
2020,Michele Obama,Michelle,1
2021,Hillary,Michele Obama,1
2022,Hillary Clinton,Rick Ross,1
2023,Hillary Clinton,Michelle,1
2024,Rick Ross,Trump,1
2025,Michelle,Rick Ross,1
2026,Hillary,Rick Ross,1
2027,Michelle,Trump,1
2028,Hillary,Michelle,1
2029,Hillary Clinton,Margot Gerster,3
2030,Hillary,Margot Gerster,2
2031,Barack Obama,Bob Corker,1
2032,Bob Corker,Obama,2
2033,Ayatollah Ali Khamenei,Bob Corker,1
2034,Bob Corker,Hassan Rouhani,1
2035,Bob Corker,Corker,1
2036,Bob Corker,Bob Menendez,1
2037,Angus King,Bob Corker,1
2038,Bob Corker,Chuck Schumer,1
2039,Bob Corker,Harry Reid,1
2040,Bob Corker,Tim Kaine,1
2041,Barack Obama,Obama,3
2042,Ayatollah Ali Khamenei,Barack Obama,1
2043,Barack Obama,Hassan Rouhani,1
2044,Barack Obama,Corker,1
2045,Barack Obama,Bob Menendez,1
2046,Angus King,Barack Obama,2
2047,Barack Obama,Chuck Schumer,1
2048,Barack Obama,Harry Reid,1
2049,Barack Obama,Tim Kaine,1
2050,Ayatollah Ali Khamenei,Obama,2
2051,Hassan Rouhani,Obama,2
2052,Corker,Obama,2
2053,Bob Menendez,Obama,2
2054,Angus King,Obama,2
2055,Chuck Schumer,Obama,2
2056,Harry Reid,Obama,7
2057,Obama,Tim Kaine,7
2058,Ayatollah Ali Khamenei,Hassan Rouhani,1
2059,Ayatollah Ali Khamenei,Corker,1
2060,Ayatollah Ali Khamenei,Bob Menendez,1
2061,Angus King,Ayatollah Ali Khamenei,1
2062,Ayatollah Ali Khamenei,Chuck Schumer,1
2063,Ayatollah Ali Khamenei,Harry Reid,1
2064,Ayatollah Ali Khamenei,Tim Kaine,1
2065,Corker,Hassan Rouhani,1
2066,Bob Menendez,Hassan Rouhani,1
2067,Angus King,Hassan Rouhani,1
2068,Chuck Schumer,Hassan Rouhani,1
2069,Harry Reid,Hassan Rouhani,1
2070,Hassan Rouhani,Tim Kaine,1
2071,Bob Menendez,Corker,1
2072,Angus King,Corker,1
2073,Chuck Schumer,Corker,1
2074,Corker,Harry Reid,1
2075,Corker,Tim Kaine,1
2076,Angus King,Bob Menendez,1
2077,Bob Menendez,Chuck Schumer,1
2078,Bob Menendez,Harry Reid,1
2079,Bob Menendez,Tim Kaine,1
2080,Angus King,Chuck Schumer,1
2081,Angus King,Harry Reid,1
2082,Angus King,Tim Kaine,1
2083,Chuck Schumer,Harry Reid,1
2084,Chuck Schumer,Tim Kaine,1
2085,Harry Reid,Tim Kaine,2
2086,Breitbart,Pamela Geller,1
2087,Donald Trump,Pamela Geller,1
2088,Pamela Geller,Paul D. Ryan,1
2089,George W. Bush,Pamela Geller,1
2090,Islamophobia,Pamela Geller,1
2091,Bush,Pamela Geller,1
2092,Pamela Geller,Trump,3
2093,Jeb Bush,Pamela Geller,1
2094,Pamela Geller,Ted Cruz,1
2095,Biden,Pamela Geller,1
2096,Pamela Geller,PolitiFact,1
2097,Newt Gingrich,Pamela Geller,1
2098,Obama,Pamela Geller,2
2099,John Cornyn,Pamela Geller,1
2100,John Feehery,Pamela Geller,1
2101,E.J. Dionne’s,Pamela Geller,1
2102,Breitbart,Donald Trump,1
2103,Breitbart,Paul D. Ryan,1
2104,Breitbart,George W. Bush,1
2105,Breitbart,Islamophobia,1
2106,Breitbart,Bush,1
2107,Breitbart,Trump,3
2108,Breitbart,Jeb Bush,1
2109,Breitbart,Ted Cruz,1
2110,Biden,Breitbart,1
2111,Breitbart,PolitiFact,1
2112,Breitbart,Newt Gingrich,1
2113,Breitbart,Obama,2
2114,Breitbart,John Cornyn,1
2115,Breitbart,John Feehery,1
2116,Breitbart,E.J. Dionne’s,1
2117,Donald Trump,Paul D. Ryan,1
2118,Donald Trump,Jeb Bush,9
2119,Biden,Donald Trump,2
2120,Donald Trump,PolitiFact,1
2121,Donald Trump,Newt Gingrich,3
2122,Donald Trump,John Cornyn,1
2123,Donald Trump,John Feehery,1
2124,Donald Trump,E.J. Dionne’s,1
2125,George W. Bush,Paul D. Ryan,1
2126,Islamophobia,Paul D. Ryan,1
2127,Bush,Paul D. Ryan,1
2128,Paul D. Ryan,Trump,3
2129,Jeb Bush,Paul D. Ryan,1
2130,Paul D. Ryan,Ted Cruz,1
2131,Biden,Paul D. Ryan,1
2132,Paul D. Ryan,PolitiFact,1
2133,Newt Gingrich,Paul D. Ryan,1
2134,Obama,Paul D. Ryan,2
2135,John Cornyn,Paul D. Ryan,1
2136,John Feehery,Paul D. Ryan,1
2137,E.J. Dionne’s,Paul D. Ryan,1
2138,George W. Bush,Islamophobia,1
2139,George W. Bush,Jeb Bush,20
2140,Biden,George W. Bush,3
2141,George W. Bush,PolitiFact,1
2142,George W. Bush,Newt Gingrich,1
2143,George W. Bush,John Cornyn,1
2144,George W. Bush,John Feehery,1
2145,E.J. Dionne’s,George W. Bush,1
2146,Bush,Islamophobia,1
2147,Islamophobia,Trump,3
2148,Islamophobia,Jeb Bush,1
2149,Islamophobia,Ted Cruz,1
2150,Biden,Islamophobia,1
2151,Islamophobia,PolitiFact,1
2152,Islamophobia,Newt Gingrich,1
2153,Islamophobia,Obama,2
2154,Islamophobia,John Cornyn,1
2155,Islamophobia,John Feehery,1
2156,E.J. Dionne’s,Islamophobia,1
2157,Bush,Jeb Bush,106
2158,Biden,Bush,12
2159,Bush,PolitiFact,1
2160,Bush,Newt Gingrich,1
2161,Bush,John Cornyn,1
2162,Bush,John Feehery,1
2163,Bush,E.J. Dionne’s,1
2164,Jeb Bush,Trump,32
2165,Biden,Trump,3
2166,PolitiFact,Trump,3
2167,Newt Gingrich,Trump,3
2168,John Cornyn,Trump,3
2169,John Feehery,Trump,3
2170,E.J. Dionne’s,Trump,3
2171,Jeb Bush,Ted Cruz,13
2172,Biden,Jeb Bush,6
2173,Jeb Bush,PolitiFact,1
2174,Jeb Bush,Newt Gingrich,1
2175,Jeb Bush,Obama,18
2176,Jeb Bush,John Cornyn,1
2177,Jeb Bush,John Feehery,1
2178,E.J. Dionne’s,Jeb Bush,1
2179,Biden,Ted Cruz,5
2180,PolitiFact,Ted Cruz,1
2181,Newt Gingrich,Ted Cruz,2
2182,John Cornyn,Ted Cruz,1
2183,John Feehery,Ted Cruz,1
2184,E.J. Dionne’s,Ted Cruz,1
2185,Biden,PolitiFact,1
2186,Biden,Newt Gingrich,1
2187,Biden,Obama,13
2188,Biden,John Cornyn,1
2189,Biden,John Feehery,1
2190,Biden,E.J. Dionne’s,1
2191,Newt Gingrich,PolitiFact,1
2192,Obama,PolitiFact,2
2193,John Cornyn,PolitiFact,1
2194,John Feehery,PolitiFact,1
2195,E.J. Dionne’s,PolitiFact,1
2196,Newt Gingrich,Obama,2
2197,John Cornyn,Newt Gingrich,1
2198,John Feehery,Newt Gingrich,1
2199,E.J. Dionne’s,Newt Gingrich,1
2200,John Cornyn,Obama,2
2201,John Feehery,Obama,2
2202,E.J. Dionne’s,Obama,2
2203,John Cornyn,John Feehery,1
2204,E.J. Dionne’s,John Cornyn,1
2205,E.J. Dionne’s,John Feehery,1
2206,Patrick Henningsen,Patrick Henningsen,1
2207,Donald J Trump,Patrick Henningsen,2
2208,Patrick Henningsen,Soros,2
2209,Patrick Henningsen,Randy J,2
