,nodeA,nodeB,weight
161,Eric H. Holder Jr.,Kerry,6
162,Kerry,Narendra Modi,6
163,Francois Hollande,Laurent Fabius,1
164,Laurent Fabius,Obama,2
165,Benjamin Netanyahu,Laurent Fabius,1
166,Jane Hartley,Laurent Fabius,1
167,Laurent Fabius,Victoria Nuland,1
168,Eric H. Holder Jr.,Laurent Fabius,1
169,Laurent Fabius,Narendra Modi,1
170,Francois Hollande,Obama,1
171,Benjamin Netanyahu,Francois Hollande,1
172,Francois Hollande,Jane Hartley,1
173,Francois Hollande,Victoria Nuland,1
174,Eric H. Holder Jr.,Francois Hollande,1
175,Francois Hollande,Narendra Modi,1
176,Benjamin Netanyahu,Obama,1
177,Jane Hartley,Obama,1
178,Obama,Victoria Nuland,1
179,Eric H. Holder Jr.,Obama,1
180,Narendra Modi,Obama,1
181,Benjamin Netanyahu,Jane Hartley,1
182,Benjamin Netanyahu,Victoria Nuland,1
183,Benjamin Netanyahu,Eric H. Holder Jr.,1
184,Benjamin Netanyahu,Narendra Modi,1
185,Jane Hartley,Victoria Nuland,1
186,Eric H. Holder Jr.,Jane Hartley,1
187,Jane Hartley,Narendra Modi,1
188,Eric H. Holder Jr.,Victoria Nuland,1
189,Narendra Modi,Victoria Nuland,1
190,Eric H. Holder Jr.,Narendra Modi,1
191,Paul Krugman,— Kaydee King (@KaydeeKing),1
192,Hillary Clinton,— Kaydee King (@KaydeeKing),5
193,Clinton,— Kaydee King (@KaydeeKing),4
194,Jill Stein,— Kaydee King (@KaydeeKing),1
195,Ralph Nader,— Kaydee King (@KaydeeKing),1
196,Ana Navarro,— Kaydee King (@KaydeeKing),2
197,pro-Sanders,— Kaydee King (@KaydeeKing),1
198,Trump,— Kaydee King (@KaydeeKing),1
199,Bernie Sanders,— Kaydee King (@KaydeeKing),1
200,Zach Cartwright,— Kaydee King (@KaydeeKing),1
201,Hillary Clinton,Paul Krugman,5
202,Clinton,Paul Krugman,4
203,Jill Stein,Paul Krugman,1
204,Paul Krugman,Ralph Nader,1
205,Ana Navarro,Paul Krugman,2
206,Paul Krugman,pro-Sanders,1
207,Paul Krugman,Trump,1
208,Bernie Sanders,Paul Krugman,1
209,Paul Krugman,Zach Cartwright,1
210,Hillary Clinton,Jill Stein,5
211,Hillary Clinton,Ralph Nader,5
212,Ana Navarro,Hillary Clinton,10
213,Hillary Clinton,pro-Sanders,5
214,Hillary Clinton,Trump,50
215,Bernie Sanders,Hillary Clinton,19
216,Hillary Clinton,Zach Cartwright,5
217,Clinton,Jill Stein,4
218,Clinton,Ralph Nader,4
219,Ana Navarro,Clinton,8
220,Clinton,pro-Sanders,4
221,Clinton,Trump,567
222,Bernie Sanders,Clinton,73
223,Clinton,Zach Cartwright,4
224,Jill Stein,Ralph Nader,1
225,Ana Navarro,Jill Stein,2
226,Jill Stein,pro-Sanders,1
227,Jill Stein,Trump,1
228,Bernie Sanders,Jill Stein,1
229,Jill Stein,Zach Cartwright,1
230,Ana Navarro,Ralph Nader,2
231,Ralph Nader,pro-Sanders,1
232,Ralph Nader,Trump,1
233,Bernie Sanders,Ralph Nader,1
234,Ralph Nader,Zach Cartwright,1
235,Ana Navarro,Ana Navarro,1
236,Ana Navarro,pro-Sanders,2
237,Ana Navarro,Trump,2
238,Ana Navarro,Bernie Sanders,2
239,Ana Navarro,Zach Cartwright,2
240,Trump,pro-Sanders,1
241,Bernie Sanders,pro-Sanders,1
242,Zach Cartwright,pro-Sanders,1
243,Bernie Sanders,Trump,5
244,Trump,Zach Cartwright,1
245,Bernie Sanders,Zach Cartwright,1
246,Donald Trump,Hillary Clinton,22
247,Hillary Clinton,Ted Cruz,14
248,D-Vt.,Hillary Clinton,1
249,Hillary Clinton,John Kasich,4
250,Cruz,Hillary Clinton,64
251,Hillary Clinton,Kasich,6
252,Donald Trump,Trump,74
253,Donald Trump,Ted Cruz,16
254,Bernie Sanders,Donald Trump,11
255,D-Vt.,Donald Trump,1
256,Donald Trump,John Kasich,2
257,Clinton,Donald Trump,121
258,Cruz,Donald Trump,59
259,Donald Trump,Hillary,24
260,Donald Trump,Kasich,6
261,Ted Cruz,Trump,42
262,D-Vt.,Trump,3
263,John Kasich,Trump,9
264,Trump,Trump,181
265,Cruz,Trump,228
266,Hillary,Trump,21
267,Kasich,Trump,33
268,Bernie Sanders,Ted Cruz,6
269,D-Vt.,Ted Cruz,1
270,John Kasich,Ted Cruz,4
271,Clinton,Ted Cruz,55
272,Cruz,Ted Cruz,65
273,Hillary,Ted Cruz,17
274,Kasich,Ted Cruz,6
275,Bernie Sanders,D-Vt.,1
276,Bernie Sanders,John Kasich,1
277,Bernie Sanders,Cruz,4
278,Bernie Sanders,Hillary,7
279,Bernie Sanders,Kasich,1
280,D-Vt.,John Kasich,1
281,Clinton,D-Vt.,3
282,Cruz,D-Vt.,3
283,D-Vt.,Hillary,3
284,D-Vt.,Kasich,1
285,Clinton,John Kasich,3
286,Cruz,John Kasich,16
287,Hillary,John Kasich,9
288,John Kasich,Kasich,6
289,Clinton,Cruz,49
290,Clinton,Kasich,3
291,Cruz,Cruz,340
292,Cruz,Hillary,10
293,Cruz,Kasich,68
294,Hillary,Kasich,3
295,Ayatollah Khomeini,Donald Trump,2
296,Ayatollah Khomeini,Islamophobia,4
297,Ayatollah Khomeini,Gandhi,2
298,Ayatollah Khomeini,Nader,1
299,Ayatollah Khomeini,The Boy,1
300,Ayatollah Khomeini,Yusor Abu-Salha,1
301,Ayatollah Khomeini,Razan Abu-Salha,1
302,Ayatollah Khomeini,Deah Shaddy Barakat,1
303,Ayatollah Khomeini,Michael McPhearson,1
304,Donald Trump,Islamophobia,9
305,Donald Trump,Gandhi,4
306,Donald Trump,Nader,2
307,Donald Trump,The Boy,2
308,Donald Trump,Yusor Abu-Salha,2
309,Donald Trump,Razan Abu-Salha,2
310,Deah Shaddy Barakat,Donald Trump,2
311,Donald Trump,Michael McPhearson,2
312,Donald Trump,Donald Trump,7
313,Gandhi,Islamophobia,8
314,Islamophobia,Nader,4
315,Islamophobia,The Boy,4
316,Islamophobia,Yusor Abu-Salha,4
317,Islamophobia,Razan Abu-Salha,4
318,Deah Shaddy Barakat,Islamophobia,4
319,Islamophobia,Michael McPhearson,4
320,Islamophobia,Islamophobia,6
321,Gandhi,Nader,2
322,Gandhi,Gandhi,1
323,Gandhi,The Boy,2
324,Gandhi,Yusor Abu-Salha,2
325,Gandhi,Razan Abu-Salha,2
326,Deah Shaddy Barakat,Gandhi,2
327,Gandhi,Michael McPhearson,2
328,Nader,The Boy,1
329,Nader,Yusor Abu-Salha,1
330,Nader,Razan Abu-Salha,1
331,Deah Shaddy Barakat,Nader,1
332,Michael McPhearson,Nader,1
333,The Boy,Yusor Abu-Salha,1
334,Razan Abu-Salha,The Boy,1
335,Deah Shaddy Barakat,The Boy,1
336,Michael McPhearson,The Boy,1
337,Razan Abu-Salha,Yusor Abu-Salha,1
338,Deah Shaddy Barakat,Yusor Abu-Salha,1
339,Michael McPhearson,Yusor Abu-Salha,1
340,Deah Shaddy Barakat,Razan Abu-Salha,1
341,Michael McPhearson,Razan Abu-Salha,1
342,Deah Shaddy Barakat,Michael McPhearson,1
343,Baylee,Baylee Luciani,8
344,Baylee,Baylee,28
345,Baylee,Yale Gerstein,8
346,Baylee Luciani,Yale Gerstein,1
347,Dubbed,Nicholas Winton,1
348,Dubbed,Queen Elizabeth II,1
349,Nicholas Winton,Queen Elizabeth II,1
350,Hillary Clinton,Obama,17
351,Hillary Clinton,Moammar Gadhafi,2
352,Hillary Clinton,Matt Lauer,2
353,Hillary Clinton,Howard Stern,1
354,Hillary Clinton,Neil Cavuto,1
355,Cavuto,Hillary Clinton,2
356,Chris Matthews,Hillary Clinton,1
357,Hillary Clinton,Joe Scarborough,1
358,George W. Bush,Hillary Clinton,8
359,Bush,Hillary Clinton,23
360,Condoleezza Rice,Hillary Clinton,1
361,Hillary Clinton,Nouri al-Maliki,1
362,Hillary Clinton,Leon Panetta,1
363,Hillary Clinton,Maliki,1
364,Hillary Clinton,Raul Castro,1
365,Hillary Clinton,Salman,1
366,Hillary Clinton,Ronald Reagan,1
367,Hillary Clinton,Reagan,3
368,Helmut Kohl,Hillary Clinton,1
369,Glenn Kessler,Hillary Clinton,1
370,Hillary Clinton,Kessler,2
371,Hillary Clinton,Richard Nixon,1
372,Hillary Clinton,Zhou Enlai,1
373,Hillary Clinton,Mao,1
374,Hillary Clinton,Nixon,1
375,Hillary Clinton,Lauer,1
376,Gadhafi,Hillary Clinton,2
377,Hillary Clinton,Rachel Maddow,1
378,Hillary Clinton,Maddow,3
379,Donald Trump,Obama,11
380,Donald Trump,Moammar Gadhafi,4
381,Donald Trump,Matt Lauer,4
382,Donald Trump,Howard Stern,2
383,Donald Trump,Neil Cavuto,2
384,Cavuto,Donald Trump,4
385,Chris Matthews,Donald Trump,2
386,Donald Trump,Joe Scarborough,2
387,Donald Trump,George W. Bush,9
388,Bush,Donald Trump,34
389,Condoleezza Rice,Donald Trump,2
390,Donald Trump,Nouri al-Maliki,2
391,Donald Trump,Leon Panetta,2
392,Donald Trump,Maliki,2
393,Donald Trump,Raul Castro,2
394,Donald Trump,Salman,5
395,Donald Trump,Ronald Reagan,2
396,Donald Trump,Reagan,2
397,Donald Trump,Helmut Kohl,2
398,Donald Trump,Glenn Kessler,2
399,Donald Trump,Kessler,4
400,Donald Trump,Richard Nixon,2
401,Donald Trump,Zhou Enlai,2
402,Donald Trump,Mao,2
403,Donald Trump,Nixon,2
404,Donald Trump,Lauer,2
405,Donald Trump,Gadhafi,4
406,Donald Trump,Rachel Maddow,2
407,Donald Trump,Maddow,6
408,Clinton,Obama,105
409,Clinton,Moammar Gadhafi,64
410,Clinton,Matt Lauer,64
411,Clinton,Howard Stern,32
412,Clinton,Neil Cavuto,32
413,Cavuto,Clinton,64
414,Chris Matthews,Clinton,32
415,Clinton,Joe Scarborough,32
416,Clinton,George W. Bush,48
417,Bush,Clinton,201
418,Clinton,Condoleezza Rice,32
419,Clinton,Nouri al-Maliki,32
420,Clinton,Leon Panetta,32
421,Clinton,Maliki,32
422,Clinton,Raul Castro,32
423,Clinton,Salman,32
424,Clinton,Ronald Reagan,32
425,Clinton,Reagan,32
426,Clinton,Helmut Kohl,32
427,Clinton,Glenn Kessler,32
428,Clinton,Kessler,64
429,Clinton,Richard Nixon,32
430,Clinton,Zhou Enlai,32
431,Clinton,Mao,32
432,Clinton,Nixon,32
433,Clinton,Lauer,32
434,Clinton,Gadhafi,64
435,Clinton,Rachel Maddow,32
436,Clinton,Maddow,96
437,Obama,Trump,70
438,Moammar Gadhafi,Trump,32
439,Matt Lauer,Trump,32
440,Howard Stern,Trump,16
441,Neil Cavuto,Trump,16
442,Cavuto,Trump,32
443,Chris Matthews,Trump,16
444,Joe Scarborough,Trump,16
445,George W. Bush,Trump,41
446,Bush,Trump,161
447,Condoleezza Rice,Trump,16
448,Nouri al-Maliki,Trump,16
449,Leon Panetta,Trump,16
450,Maliki,Trump,16
451,Raul Castro,Trump,16
452,Salman,Trump,16
453,Ronald Reagan,Trump,16
454,Reagan,Trump,16
455,Helmut Kohl,Trump,16
456,Glenn Kessler,Trump,16
457,Kessler,Trump,32
458,Richard Nixon,Trump,16
459,Trump,Zhou Enlai,16
460,Mao,Trump,16
461,Nixon,Trump,16
462,Lauer,Trump,16
