,degree,betweenness,eigenvector
Gadhafi,0.008379888268156424,0.0,0.05839985110323093
Carson,0.008379888268156424,0.0,0.05186683600003967
Jeb,0.008379888268156424,0.0,0.05186683600003967
Chris Christie,0.008379888268156424,0.0,0.05186683600003967
Christie,0.008379888268156424,0.0,0.05186683600003967
Carly Fiorina,0.008379888268156424,0.0,0.05186683600003967
Shaheen,0.008379888268156424,0.0,0.027717040332731993
Hassan,0.008379888268156424,0.0,0.027717040332731993
Johnson,0.008379888268156424,0.0,0.003681397931283431
Aziza Hamid,0.008379888268156424,0.0,0.0017768931840244362
Kiymet Ergun,0.008379888268156424,0.0,0.0017768931840244362
Kurd,0.008379888268156424,0.0,0.0017768931840244362
Cundi Minaz,0.008379888268156424,0.0,0.0017768931840244362
Minaz,0.008379888268156424,0.0,0.0017768931840244362
Kobani,0.008379888268156424,0.0,0.0017768931840244362
Jurf al-Sakhar,0.008379888268156424,0.0,0.0017768931840244362
Junko Ishido,0.008379888268156424,0.0,0.0017768931840244362
Kenji Goto,0.008379888268156424,0.0,0.0017768931840244362
Goto,0.008379888268156424,0.0,0.0017768931840244362
Ayn al-Arab,0.008379888268156424,0.0,0.0017768931840244362
Al-Alam,0.008379888268156424,0.0,0.0017768931840244362
Saddam Hussein,0.008379888268156424,0.0,0.0017768931840244362
Yazidis,0.008379888268156424,0.0,0.0017768931840244362
Ramadi,0.008379888268156424,0.0,0.0017768931840244362
al-Qaryatayn,0.008379888268156424,0.0,0.0017768931840244362
Kweiras,0.008379888268156424,0.0,0.0017768931840244362
Fortenberry,0.008379888268156424,0.0,0.0017768931840244362
Malthus,0.008379888268156424,0.0,1.9822996017175627e-16
Nancy Pelosi,0.00558659217877095,0.014699671415318612,0.01641252239606984
Tsarnaev,0.00558659217877095,0.006908325616709048,0.0013318537894392321
Islamophobia,0.00558659217877095,0.005508348590832982,0.011172791706115575
Barack Obama,0.00558659217877095,0.004748288337639294,0.02288466635044228
Hillary Clinton's,0.00558659217877095,0.003707678216193431,0.033612382833463995
Susan Collins,0.00558659217877095,0.002618487007441406,0.019490573743469516
John McCain,0.00558659217877095,0.002618487007441406,0.019490573743469516
Bill Clinton,0.00558659217877095,0.0,0.040781245044929706
Elizabeth Warren,0.00558659217877095,0.0,0.040781245044929706
Howard Stern,0.00558659217877095,0.0,0.039230330700328706
Neil Cavuto,0.00558659217877095,0.0,0.039230330700328706
Chris Matthews,0.00558659217877095,0.0,0.039230330700328706
Joe Scarborough,0.00558659217877095,0.0,0.039230330700328706
Condoleezza Rice,0.00558659217877095,0.0,0.039230330700328706
Nouri al-Maliki,0.00558659217877095,0.0,0.039230330700328706
Leon Panetta,0.00558659217877095,0.0,0.039230330700328706
Maliki,0.00558659217877095,0.0,0.039230330700328706
Raul Castro,0.00558659217877095,0.0,0.039230330700328706
Ronald Reagan,0.00558659217877095,0.0,0.039230330700328706
Helmut Kohl,0.00558659217877095,0.0,0.039230330700328706
Glenn Kessler,0.00558659217877095,0.0,0.039230330700328706
Richard Nixon,0.00558659217877095,0.0,0.039230330700328706
Zhou Enlai,0.00558659217877095,0.0,0.039230330700328706
Mao,0.00558659217877095,0.0,0.039230330700328706
Nixon,0.00558659217877095,0.0,0.039230330700328706
Lauer,0.00558659217877095,0.0,0.039230330700328706
Rachel Maddow,0.00558659217877095,0.0,0.039230330700328706
Ana Navarro,0.00558659217877095,0.0,0.03585850585237106
Antonin Scalia,0.00558659217877095,0.0,0.03424822994173844
Jeb Bush’s,0.00558659217877095,0.0,0.03424822994173844
Assad,0.00558659217877095,0.0,0.03424822994173844
Stuart Stevens,0.00558659217877095,0.0,0.03269731559713744
Daniel Greenfield,0.00558659217877095,0.0,0.029705975396014654
Journalism Fellow,0.00558659217877095,0.0,0.029705975396014654
James Comey Role Recalls Hoover,0.00558659217877095,0.0,0.029705975396014654
James Carville,0.00558659217877095,0.0,0.029705975396014654
Vladimir Putin,0.00558659217877095,0.0,0.029705975396014654
Huma Abedin,0.00558659217877095,0.0,0.029705975396014654
Tim Kaine,0.00558659217877095,0.0,0.027192258372877514
Tad Devine,0.00558659217877095,0.0,0.025696129642547864
Devine,0.00558659217877095,0.0,0.025696129642547864
Mitt Romney,0.00558659217877095,0.0,0.025457687212403803
Rick Santorum,0.00558659217877095,0.0,0.022860614521188097
R-Ky.,0.00558659217877095,0.0,0.02262663107247946
Donald,0.00558659217877095,0.0,0.019180097410535075
Kevin MacDonald,0.00558659217877095,0.0,0.019180097410535075
MacDonald,0.00558659217877095,0.0,0.019180097410535075
Adriana,0.00558659217877095,0.0,0.019180097410535075
Wasserman Schultz,0.00558659217877095,0.0,0.0067341328342999714
Deutsch,0.00558659217877095,0.0,0.0067341328342999714
Murray,0.00558659217877095,0.0,0.0020800428951114
Russell,0.00558659217877095,0.0,0.0020800428951114
Michael Brown,0.00558659217877095,0.0,0.0006848083713995351
Darren Wilson,0.00558659217877095,0.0,0.0006848083713995351
Dorian Johnson,0.00558659217877095,0.0,0.0006848083713995351
DOJ,0.00558659217877095,0.0,0.0006848083713995351
Eric Garner,0.00558659217877095,0.0,0.0006848083713995351
John Crawford III,0.00558659217877095,0.0,0.0006848083713995351
Levar Jones,0.00558659217877095,0.0,0.0006848083713995351
Tamir Rice,0.00558659217877095,0.0,0.0006848083713995351
Bill,0.002793296089385475,0.0,0.021611724642027468
Chelsea Clinton,0.002793296089385475,0.0,0.021611724642027468
Cigi Ross,0.002793296089385475,0.0,0.021611724642027468
Chelsea Clinton's,0.002793296089385475,0.0,0.021611724642027468
George W. Bush,0.002793296089385475,0.0,0.021611724642027468
Bill Bratton,0.002793296089385475,0.0,0.021611724642027468
Debi Rose,0.002793296089385475,0.0,0.021611724642027468
Bill de Blasio,0.002793296089385475,0.0,0.021611724642027468
Ellen Tauscher,0.002793296089385475,0.0,0.021611724642027468
Donald Trump's,0.002793296089385475,0.0,0.021611724642027468
Eventually,0.002793296089385475,0.0,0.021611724642027468
Andrew P. Napolitano,0.002793296089385475,0.0,0.021611724642027468
Bernie,0.002793296089385475,0.0,0.021611724642027468
Neil Sroka,0.002793296089385475,0.0,0.021611724642027468
Jeff Weaver,0.002793296089385475,0.0,0.021611724642027468
